id,dt,bulan,tahun,minggu,id_provinsi_sdi,id_provinsi_bps,provinsi,id_kab_sdi,id_kab_bps,kabupaten,id_tipe_bencana,jenis_bencana,kategori_bencana,is_bencana,jumlah_kejadian,meninggal,hilang,luka_sakit,menderita,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam,pendidikan_rusak,fasyankes_rusak,rumah_ibadat_rusak,kantor_rusak,jembatan_rusak,fasum_rusak,menderita_mengungsi
c81ebc2a-ecc6-4163-a2c4-e39025c4f46a,2025-02-22 18:00:00,2,2025,8,12,12,Sumatera Utara,12.03,1203,Tapanuli Selatan,1020,Tanah Longsor,Longsor,True,1.0,2,0,0,6,0,1,1,0,0,0,0,0,0,0,0,6
c8866346-efa6-40b4-bc20-9f3d883008f4,2025-02-19 17:30:00,2,2025,8,12,12,Sumatera Utara,12.16,1215,Humbang Hasundutan,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,96,24,0,1,5,0,0,0,0,0,1,0,120
5d1fe576-1454-4a94-a0f3-b73bee2d3a71,2024-12-29 20:30:00,12,2024,52,12,12,Sumatera Utara,12.77,1277,Kota Padang Sidempuan,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48af33ff-c85c-4301-8ef7-cc5888f452eb,2024-12-19 10:00:00,12,2024,51,12,12,Sumatera Utara,12.77,1277,Kota Padang Sidempuan,1020,Tanah Longsor,Longsor,True,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7aa1ebda-c5c9-4881-89e1-2edfa0363bbf,2024-11-27 00:01:00,11,2024,48,12,12,Sumatera Utara,12.06,1211,Karo,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,44,0,11,0,0,0,0,0,0,0,0,0,44
e4138d57-3592-4f27-aa35-8f11d62bf1c4,2024-11-26 00:01:00,11,2024,48,12,12,Sumatera Utara,12.07,1212,Deli Serdang,1020,Tanah Longsor,Longsor,True,0.5,10,0,24,7,0,1,0,1,0,0,0,0,0,0,0,7
4cc3b623-da62-407f-b42e-3aedea3107ee,2024-11-26 00:01:00,11,2024,48,12,12,Sumatera Utara,12.07,1212,Deli Serdang,1020,Tanah Longsor,Longsor,True,0.5,0,0,0,30,0,4,0,0,0,0,0,1,0,0,1,30
eae7a79c-2a42-406e-a638-d9824a09abd6,2024-11-23 00:01:00,11,2024,47,12,12,Sumatera Utara,12.06,1211,Karo,1020,Tanah Longsor,Longsor,True,1.0,10,0,0,18,0,2,0,0,0,0,0,1,0,0,1,18
a969e1a0-487f-4ab1-b872-e3b523e785f4,2024-11-23 00:01:00,11,2024,47,12,12,Sumatera Utara,12.21,1221,Padang Lawas,1020,Tanah Longsor,Longsor,True,1.0,4,0,1,20,3,2,0,0,0,0,0,0,0,0,0,23
087eef91-72ba-4ecc-92a3-a63da1328143,2024-10-18 14:15:00,10,2024,42,12,12,Sumatera Utara,12.11,1210,Dairi,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0
72b94541-ce6a-4adc-9bdd-74ebfb34abe1,2024-10-10 21:00:00,10,2024,41,12,12,Sumatera Utara,12.06,1211,Karo,1020,Tanah Longsor,Longsor,True,1.0,1,0,0,280,173,3,0,0,0,0,0,0,0,1,0,453
388a39cd-bb44-418c-97ee-0f79cd67a461,2024-10-09 18:00:00,10,2024,41,12,12,Sumatera Utara,12.06,1211,Karo,1020,Tanah Longsor,Longsor,True,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c6eebae-5f8b-4347-aff5-10f6346fd807,2024-06-26 03:15:00,6,2024,26,12,12,Sumatera Utara,12.07,1212,Deli Serdang,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d57312d-6673-4510-849d-937c3e941685,2024-05-09 09:40:00,5,2024,19,12,12,Sumatera Utara,12.17,1217,Samosir,1020,Tanah Longsor,Longsor,True,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f0983e1c-5012-4c41-88dc-73140c5df536,2024-05-09 00:01:00,5,2024,19,12,12,Sumatera Utara,12.02,1205,Tapanuli Utara,1020,Tanah Longsor,Longsor,True,1.0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,4
23eca63d-935e-45b7-97a5-c8551a0f1b19,2024-04-16 00:01:00,4,2024,16,12,12,Sumatera Utara,12.11,1210,Dairi,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,1600
205f1ab7-1ae5-4ff7-a596-642de6cb4351,2024-03-03 19:00:00,3,2024,9,12,12,Sumatera Utara,12.15,1216,Pakpak Bharat,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,1095,0,0,0,0,0,0,0,0,0,0,0,1095
b4fd390b-7727-4e6c-9975-7ca7fe900bcb,2024-02-03 17:00:00,2,2024,5,12,12,Sumatera Utara,12.02,1205,Tapanuli Utara,1020,Tanah Longsor,Longsor,True,1.0,3,0,14,4,0,1,0,0,0,0,0,0,0,0,0,4
b92672f6-d0c3-4f12-9959-06043b5bc1cb,2023-12-20 00:01:00,12,2023,51,12,12,Sumatera Utara,12.73,1271,Kota Sibolga,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,5
ff91a0e4-e17d-4fd8-a76a-8f7a89cce3b0,2023-12-11 17:00:00,12,2023,50,12,12,Sumatera Utara,12.77,1277,Kota Padang Sidempuan,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,35,15,0,0,0,0,0,0,0,0,0,0,50
3d540faa-1525-4359-8ecc-e87b543948f9,2023-12-07 00:01:00,12,2023,49,12,12,Sumatera Utara,12.02,1205,Tapanuli Utara,1020,Tanah Longsor,Longsor,True,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80afb411-9a88-4b25-b309-bcba90e04375,2023-12-03 08:00:00,12,2023,48,12,12,Sumatera Utara,12.13,1202,Mandailing Natal,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,5
e888dfc1-9ab6-4dfc-9128-c7acf9272dc9,2023-12-01 23:00:00,12,2023,48,12,12,Sumatera Utara,12.15,1216,Pakpak Bharat,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,35
40f7f189-3179-412e-b2db-3311d52f9805,2023-11-25 16:15:00,11,2023,47,12,12,Sumatera Utara,12.12,1206,Toba,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c238dde1-19e0-4386-95ed-54756d6701e1,2023-11-24 15:00:00,11,2023,47,12,12,Sumatera Utara,12.15,1216,Pakpak Bharat,1020,Tanah Longsor,Longsor,True,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
b3c99d27-dbd8-4b68-a274-394de6d8fe77,2023-11-21 06:30:00,11,2023,47,12,12,Sumatera Utara,12.16,1215,Humbang Hasundutan,1020,Tanah Longsor,Longsor,True,1.0,2,0,23,0,0,2,0,0,0,0,0,0,0,0,0,0
0f0997a7-6642-4c50-995e-2bed1bcfe8ab,2023-10-23 09:00:00,10,2023,43,12,12,Sumatera Utara,12.73,1271,Kota Sibolga,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,10
ce2303c0-5e71-4d5e-aba1-97d1c86d5970,2023-10-15 15:30:00,10,2023,41,12,12,Sumatera Utara,12.07,1212,Deli Serdang,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,6
5399eda8-9a14-431e-8895-a24e485ec96b,2023-10-15 13:30:00,10,2023,41,12,12,Sumatera Utara,12.08,1209,Simalungun,1020,Tanah Longsor,Longsor,True,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7899e103-191d-4358-b026-53f52ab00bcf,2023-09-22 17:00:00,9,2023,38,12,12,Sumatera Utara,12.07,1212,Deli Serdang,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,8
d55cc677-4322-4261-b41c-84a5a43d0ec3,2023-09-10 13:30:00,9,2023,36,12,12,Sumatera Utara,12.73,1271,Kota Sibolga,1020,Tanah Longsor,Longsor,True,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
